Year,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196708,1.4065,0.7502,1.0107,-0.3302,1.0214,-1.6735,-0.5183,1.5112,-0.4234,-1.2453,0.5516,2.1742,1.5145,-0.631,-1.6127,0.6932,0.2063,-0.077,-1.2063,0.1042,-1.4882,-0.6624,-0.6633,0.7664,-0.3519
196709,6.4348,7.9175,6.8925,7.6872,9.6475,4.9677,4.8221,5.4586,3.5539,5.4099,2.5442,5.0197,4.1307,2.373,2.9625,1.6124,1.9468,1.6201,2.7255,3.9975,2.2928,2.2176,5.401,2.3503,2.5096
196710,-2.1774,-1.4406,-2.5064,-0.5452,-0.8557,-2.0674,-1.262,-1.7476,-5.0953,-2.0766,-2.3916,-2.5072,-2.9902,-5.679,-2.1512,-5.0257,-5.1168,-2.6559,-6.1277,-5.0388,-2.38,-4.1725,-1.4375,-2.304,-2.2806
196711,0.2606,0.5112,-0.0131,-0.7517,-0.3259,4.1393,-0.2352,1.4531,0.6813,0.1893,1.1625,-0.4479,-0.795,2.1582,1.8092,2.9764,-0.2626,0.5814,0.8477,0.9451,1.1194,1.5187,0.1218,0.4434,-0.961
196712,8.0048,6.6899,9.5399,11.0988,14.251,7.8345,8.2029,6.9691,7.7877,11.6224,3.7278,5.1608,5.4147,7.3623,10.3725,2.8251,2.6573,1.9957,3.3308,4.876,2.0597,2.7118,2.9276,3.0502,0.0099
196801,5.2929,5.2206,3.451,3.5822,3.7715,1.5302,1.9391,-0.3248,0.3943,0.5831,0.6452,0.0256,-2.7386,-3.4323,-2.9616,-2.4776,-0.1194,-3.9496,-4.2546,-5.2438,-0.6756,-4.3776,-5.2367,-9.0089,-12.1173
196802,-3.74,-5.8736,-6.9076,-6.7934,-8.6045,-4.3396,-3.8596,-4.2697,-5.1628,-10.2623,-0.4832,-4.2581,-4.131,-4.142,-7.096,-2.2684,-3.7333,-3.7139,-4.8126,-8.9019,-1.9367,-2.7087,-2.7323,-3.4467,-3.4884
196803,-0.5816,-1.7042,0.2985,-1.7124,-1.1236,-2.2783,-3.0057,-2.2254,-1.645,1.1078,-2.7819,0.4915,0.9336,0.2376,0.7069,-1.3865,0.1156,0.2334,0.9695,1.3024,-0.7083,0.7109,2.184,1.4515,5.5674
196804,11.6715,14.3808,14.2347,18.963,20.9453,13.021,9.6357,13.3328,13.1804,19.0117,7.2349,9.862,11.7006,13.6825,18.9305,8.4489,9.7691,10.3731,12.9756,12.0584,4.1106,8.855,10.6265,11.3827,11.9128
196805,11.1933,10.6841,11.2321,12.4879,13.2843,4.3617,7.4317,8.3451,9.5629,9.7166,3.4119,5.8465,5.2413,7.5453,8.0505,0.207,4.0068,4.9177,8.9939,4.3076,0.433,1.0359,2.2889,0.3828,3.9102
196806,1.9312,4.5016,1.0389,-0.2566,-1.309,2.0781,3.7649,2.8224,-0.4523,-2.2247,2.2037,3.6521,-1.0703,0.1689,0.3826,5.591,3.7538,1.6414,-0.5327,-0.4381,3.0477,0.808,0.0481,-1.0723,-0.0691
196807,-0.1593,-2.8132,-2.5079,-4.3813,-2.4741,-1.7899,-3.4386,-1.8189,-5.0626,-3.962,-1.6548,-3.1539,-2.9048,-4.0702,-5.1856,-0.9497,-2.4136,-4.6052,-5.4447,-5.4177,2.2186,-4.2072,-4.038,-4.2805,-2.4829
196808,2.6685,4.292,2.5989,3.9515,6.0959,-0.1577,3.7793,2.8515,4.2564,4.0997,2.5372,2.9581,2.2806,5.1826,4.1042,-0.3551,2.7787,3.182,3.9111,1.3288,1.1833,1.393,1.2013,2.8405,-0.3436
196809,4.4344,5.5553,7.004,6.7543,7.9504,5.1336,6.9832,7.6114,6.8813,7.2826,2.3986,5.3183,8.2801,8.1648,6.2269,3.868,6.9895,5.677,8.1833,9.1261,2.5716,3.4596,4.9587,3.5917,5.3547
196810,3.1613,1.5127,3.5292,0.9939,-1.4524,3.4742,0.4588,2.9747,1.9261,-2.302,3.6088,2.995,3.6836,-0.9824,0.818,0.3413,1.3998,2.2634,0.8142,0.1866,2.2011,-1.7075,1.7664,1.4363,2.3169
196811,6.3905,7.1432,8.0097,5.7931,7.9878,6.7368,8.507,8.5931,6.8681,10.1849,8.2027,7.2646,5.8867,9.6876,9.9067,8.5743,6.4245,5.8126,6.0032,9.9927,6.0639,4.9399,3.1269,5.2001,11.3841
196812,2.8432,3.0061,5.3911,1.0108,3.0735,-2.6431,-1.709,-1.9316,-0.9254,-1.7349,-0.3019,-1.6538,0.7246,-2.2937,-3.4859,-2.9527,-2.4889,-3.1127,-3.9385,-3.7273,-4.4358,-4.1989,-3.4396,-5.3545,-6.015
196901,0.7114,-0.5254,-0.4396,-2.2617,-0.4234,0.9477,-1.9176,0.3303,-1.3263,0.3373,0.6181,-2.5135,-2.4675,-0.6141,-2.7147,1.1357,-1.4246,-0.8019,-1.3928,0.6008,0.3861,-2.1246,-0.4754,-2.1974,-1.0246
196902,-7.8056,-7.4335,-9.5746,-8.5535,-12.4485,-4.7833,-7.7664,-7.7608,-7.2753,-10.8557,-5.0353,-6.0525,-5.8514,-8.7794,-9.6122,-6.71,-5.9318,-6.1844,-7.7144,-10.6383,-4.2922,-2.9199,-3.5025,-5.9786,-9.738
196903,2.7877,1.2278,3.7828,2.7572,4.0087,-1.0079,0.9845,2.4534,2.0779,2.7045,1.5804,0.6115,3.5933,2.88,2.8557,-0.5666,1.9329,3.15,3.0133,2.2467,3.2743,4.4712,3.8806,0.2176,3.4849
196904,-0.7809,-0.4879,0.6687,-1.6919,1.8966,-1.1036,1.4214,1.3708,1.1678,2.3832,1.1509,0.4858,2.7731,-0.2071,2.8257,0.7118,1.3303,2.5057,-0.7987,2.6207,2.0249,3.7948,1.6835,0.6632,4.9693
196905,2.8118,2.0706,2.2356,-0.9005,1.153,-1.095,1.6167,-1.1206,-0.8521,0.6527,1.9564,1.8191,1.0534,-0.6015,-0.2469,0.1234,-0.1173,2.372,-0.4608,-2.9058,1.6468,-1.2799,0.9521,-1.0114,-0.4901
196906,-9.4453,-11.6264,-15.1248,-12.7914,-15.1769,-7.3784,-9.5578,-10.7181,-10.4706,-15.1189,-7.9425,-9.5893,-11.2998,-10.2281,-13.5686,-6.3552,-7.2373,-8.4038,-9.1686,-10.9212,-6.3719,-2.1683,-5.3733,-5.8831,-10.3131
196907,-8.5939,-9.5935,-10.8024,-10.946,-12.6256,-5.3396,-7.9958,-9.1067,-10.2299,-11.168,-6.1216,-7.2006,-7.5746,-11.2368,-11.1096,-3.6742,-6.8878,-8.3633,-9.5116,-8.098,-6.2062,-5.1927,-5.2493,-6.2647,-6.5494
196908,2.7164,5.2713,0.5876,4.7561,5.23,-0.1474,4.261,4.0139,6.0187,7.6015,1.3108,6.5788,7.8525,7.3712,11.7198,1.5661,6.3472,6.4952,5.6838,10.0271,3.5563,5.4733,4.6536,6.1192,10.6598
196909,-0.1001,-0.8047,-3.47,-3.4739,-4.5286,-1.0194,-0.8809,-0.8624,-0.9082,-0.1883,-2.095,-0.4301,-0.6255,-3.1654,-0.9351,-4.0014,-1.8431,-0.8632,-1.0483,-2.3229,-4.2705,-1.8668,-0.1513,-3.2176,-1.8694
196910,3.6231,5.2152,9.6222,9.2526,11.9276,4.0819,7.9487,5.965,10.2908,10.5738,4.7474,7.4803,5.8692,9.8233,7.0142,7.1196,6.6733,5.8747,6.5958,10.6214,3.5984,4.7213,5.0633,8.3911,5.7312
196911,-4.974,-4.8199,-6.2699,-5.7511,-8.4806,-3.4932,-3.5732,-5.4858,-4.098,-4.8931,-4.2889,-4.5985,-4.9815,-6.1154,-6.5683,-4.3812,-2.5373,-3.4188,-5.8994,-4.6333,-3.5842,-2.5916,-1.7493,-0.9752,-1.9675
